
etherStatsPkts128to255Octets,Rx 128-255 Octets Packets,Rx 128-255 Octets Packets
etherStatsPkts256to512Octets,Rx 256-511 Octets Packets,Rx 256-511 Octets Packets
etherStatsPkts512to1023Octets,Rx 512-1023 Octets Packets,Rx 512-1023 Octets Packets
etherStatsPkts1024to1518Octets,Rx 1024-1518 Octets Packets,Rx 1024-1518 Octets Packets
etherStatsCollisions,Collision Frames,Collision Frames

ifInUcastPkts,Rx Unicast Packets,Rx Unicast Packets
ifOutUcastPkts,Tx Unicast Packets,Tx Unicast Packets
etherStatsMulticastPkts,Rx Multicast Packets/Tx Multicast Packets,Rx Multicast Packets/Tx Multicast Packets
etherStatsBroadcastPkts,Rx Broadcast Packets/Tx Broadcast Packets,Rx Broadcast Packets/Tx Broadcast Packets
ifInNUcastPkts,Rx NUnicast Packets,Rx NUnicast Packets
ifOutNUcastPkts,Tx NUnicast Packets,Tx NUnicast Packets
ifInDiscards,Rx Discarded Packets,Rx Discarded Packets
ifOutDiscards,Tx Discarded Packets,Tx Discarded Packets

#zxAnEtherIfInOctetRate,Rx Bit Rate(kbps),Rx Bit Rate(kbps)
#zxAnEtherIfOutOctetRate,Tx Bit Rate(kbps),Tx Bit Rate(kbps)
ifInOctets,Rx Octets,Rx Octets
ifOutOctets,Tx Octets,Tx Octets
etherStatsOctets,Rx Octets During Collection Period/Tx Octets During Collection Period,Rx Octets During Collection Period/Tx Octets During Collection Period
zxAnEtherIfInBandwidthUtil,Rx Bandwidth Occupancy(%),Rx Bandwidth Occupancy(%)
zxAnEtherIfOutBandwidthUtil,Tx Bandwidth Occupancy(%),Tx Bandwidth Occupancy(%)


#IGMP USER,,
zxAnIgmpCounterRxV1Report,Rx V1 Report Packets,Rx V1 Report Packets
zxAnIgmpCounterDropRxV1Report,Rx V1 Errored Report Packets,Rx V1 Errored Report Packets
zxAnIgmpCounterRxV2Report,Rx V2 Report Packets,Rx V2 Report Packets
zxAnIgmpCounterDropRxV2Report,Rx V2 Errored Report Packets,Rx V2 Errored Report Packets
zxAnIgmpCounterRxV3Report,Rx V3 Report Packets,Rx V3 Report Packets
zxAnIgmpCounterDropRxV3Report,Rx V3 Errored Report Packets,Rx V3 Errored Report Packets
zxAnIgmpCounterRxLeave,Rx V2 Leave Packets,Rx V2 Leave Packets
zxAnIgmpCounterTxCommQuery,Tx General Query Packets,Tx General Query Packets
zxAnIgmpCounterTxSpecialQuery,Tx Specific Query Packets,Tx Specific Query Packets
zxAnIgmpCounterDropRxUnknown,Rx Invalid Packets,Rx Invalid Packets


#IGMP Traffic,,


#IGMP VLAN,,
zxAnIgmpCounterRxCommQuery,Rx General Query Packets,Rx General Query Packets
zxAnIgmpCounterTxCommQuery,Tx General Query Packets,Tx General Query Packets
zxAnIgmpCounterRxSpecialQuery,Rx Specific Query Packets,Rx Specific Query Packets
#zxAnIgmpCounterTxSpecialQuery,Tx Specific Query Packets,Tx Specific Query Packets
zxAnIgmpCounterRxV2Report,Rx V2 Joined Packets,Rx V2 Joined Packets
zxAnIgmpCounterTxV2Report,Tx V2 Joined Packets,Tx V2 Joined Packets
zxAnIgmpCounterDropRxV2Report,Rx Error V2 Report Packets,Rx Error V2 Report Packets
zxAnIgmpCounterRxV3Report,Rx V3 Joined Report Packets,Rx V3 Joined Report Packets
zxAnIgmpCounterTxV3Report,Tx V3 Joined Report Packets,Tx V3 Joined Report Packets
zxAnIgmpCounterDropRxV3Report,Rx Errored V3 Joined Report Packets,Rx Errored V3 Joined Report Packets
zxAnIgmpCounterRxLeave,Rx Leave Packets,Rx Leave Packets
zxAnIgmpCounterTxLeave,Tx Leave Packets,Tx Leave Packets
zxAnMvlanCurrActGroups,All Online Programs,All Online Programs
zxAnMvlanActHosts,All Online Users,All Online Users
#zxAnIgmpCounterDropRxUnknown,Rx Invalid Packets,Rx Invalid Packets
